case_id	suite	operation	legality	family	current_expectation	current_parser_state	current_parser_errno	stage1_requirement	stage2_requirement	packet_sha256
frame.pv0.mgmt.06.timing_advertisement.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	8c3a8e2896cd7a0d4203ed1fbb37f0d92729194585d131cf983338368c3a5966
frame.pv0.mgmt.08.beacon.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	a4d0daabe31f4099a94f625b5ca552c4bd6e18754031d3b92968e1d7a54ee995
frame.pv0.mgmt.08.beacon.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	87203cff108e377c37f373b61c2387f6f4f0f7bd53f89b7f538c02e7b9610d96
frame.pv0.mgmt.09.atim.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3c5bf174b2ba7e93c9121aedea5ed545e3751ba9c69c3855b6e5429bc2a029b0
frame.pv0.mgmt.09.atim.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	92e8e8b6f906dffeb8bb674ddb8b6a17544af9ebbe4e818ad19a19e3adf1673d
frame.pv0.mgmt.10.disassociation.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	9ef250cbbd8a8e1137a26a2393d5770a642ec50254fc4741164652c79f7d3f12
frame.pv0.mgmt.10.disassociation.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	63387a535e2551b1a6701f9f8dde67d167683bd51c275ed9ee1e1828e9b58ae5
frame.pv0.mgmt.11.authentication.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3cb0d8fa944d7529522d78c2966f682e4f34a7ef25e4902fd7403dd95e46db42
frame.pv0.mgmt.11.authentication.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	de3cd17991618c3b86609079472e708c5a9baf110ed3ee0371c32fa26240794d
frame.pv0.mgmt.12.deauthentication.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	1ec600c4ecbaaf5fdc6ae5a4e9987b6003fa4f59f4ca608b3ac3ef94e976ceab
frame.pv0.mgmt.12.deauthentication.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	dfee7fd25b4d001fd9ffb5e9f53694322488942c5203bed74df0f127eb5ae24b
frame.pv0.mgmt.13.action.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	7a6d940820c31312264ec23b26d9ccb50a4331cfb46058189d7c742db8e32d1e
frame.pv0.mgmt.13.action.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	34323c6c1c0a2fe980231444f6d669dcf39c677a473670443bbf854346e7d6e4
frame.pv0.mgmt.14.action_no_ack.minimal	frame	send_after_continuity_fix	assigned	pv0_management	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	431cd7b8956b4548090f5ff1c613fc397785640b7d6fbc8e485b0a2d4af6395f
frame.pv0.mgmt.14.action_no_ack.minimum_minus_one	frame	parse_only	malformed	pv0_management_boundary	parse_reject_einval	rejected	-22	precise_parser_reject_without_submit	reject_without_submit	7ca9d433a84d400a5566415a7ea3ca1547fffa12e6355e8af280b7f8d981a597
frame.pv0.mgmt.00.association_request.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	4ef4514c133bee2ef8a70367e8917ed00370356455714671d6f69245e83b2915
frame.pv0.mgmt.00.association_request.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	c42fe8047e5d26da5d42cb1c8a17474f895709216b9bd9ddae1a7d8f07329c31
frame.pv0.mgmt.00.association_request.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	2a0636c8bb8e79f880d867bfef9759f5c9d0a417bf73a4d9a9237fc049a3c254
frame.pv0.mgmt.00.association_request.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	0783aeeceafcade03ad77e2895004bd1883297dff77f915381256b9aeabbf187
frame.pv0.mgmt.00.association_request.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	cd365682dcec61b24792822e2bb83c3234529d2d6c4e094c7d512c592fa14474
frame.pv0.mgmt.00.association_request.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3326c6a123e93939217207abc4f4c0b9a4935304fdc90a8677d654fce32a9010
frame.pv0.mgmt.00.association_request.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	80428b3c42bcabb7b75a8aef8f49757f8e6c51b37e5787e7fe0de79025d00c0c
frame.pv0.mgmt.00.association_request.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	07c739ef01b81934460f623bd4c95edde82dba8e7288f7cd01db4c0d7018f2b8
frame.pv0.mgmt.01.association_response.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	351b3853a494b9b7b553c5e4f18363dd9a13f7a4c3e0a66ce27c542dc2a22dbf
frame.pv0.mgmt.01.association_response.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	d42fb3d8cd4103581b7e4b6fd1a0636966103cec7533bfdfbd1169fff503dd2a
frame.pv0.mgmt.01.association_response.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	6164a5e03126d2b32e2cabfab23864aa9871f6e090d0baa922fb5525640f8357
frame.pv0.mgmt.01.association_response.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	294cd391b11ed245ebd5eb0cb734819b632c72caae8b6b77d9b30798f4967fb2
frame.pv0.mgmt.01.association_response.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	055f9799cf6d8b0f81fd98242d9992a52f98e24be32b01431a7915658bd83471
frame.pv0.mgmt.01.association_response.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	def255ab81305398813e015dbf9eaf6d6a1a9574eb53cfecac315e8de2038a27
frame.pv0.mgmt.01.association_response.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	47afbd41dc566bf19669a48491c067c97e8780bcb593aceb8d957829a493dafa
frame.pv0.mgmt.01.association_response.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	f870d56f624b4e452ab5fc58f455202e70463c03f85bc240d5ce4901e83fa0b9
frame.pv0.mgmt.02.reassociation_request.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	709f96fc8537d2fb92e3190120abdafa0c8477c9f9e03a2ead4c904d0c87870d
frame.pv0.mgmt.02.reassociation_request.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	d6ceacbfb6a5c4874440ee68199235706dc4c01b8ad75272215368479e038bd9
frame.pv0.mgmt.02.reassociation_request.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	4471a0191789f0e80c261d61a76a4e7bc6f35602088f69d1eba1e5d14fb70b80
frame.pv0.mgmt.02.reassociation_request.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	667ec926238f685adf7f6b36636e076232472cca072d1a54c1ad823c2ee942b8
frame.pv0.mgmt.02.reassociation_request.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	c3f29ca18c93b762401eccef498ad37c42efa8f897ad4879127b35d16656d88b
frame.pv0.mgmt.02.reassociation_request.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	825ab227413c2f2c8da4e7cea1ac119ac25a4fff34988d1954043ae5dbaad89c
frame.pv0.mgmt.02.reassociation_request.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3dfb08f261087776e425b7714f230934953db19fd0ddacae0db08c3e9581a01b
frame.pv0.mgmt.02.reassociation_request.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	385ae2797190088168db1fe9906efacdf0f6b8a6e082256188732e9824d322b7
frame.pv0.mgmt.03.reassociation_response.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	27fca62403f6ca9604426107c24cf533d6414812ea56e7da77c5a4d627899125
frame.pv0.mgmt.03.reassociation_response.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	a8b22f155f7d63d19a10ee7af56062a9e9ae18d2cd42c9710a40235f44b5c386
frame.pv0.mgmt.03.reassociation_response.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	5549ec134677e21ffb1fc44d74874162d9d1641c09e7593c3c3f23e56c98e9ad
frame.pv0.mgmt.03.reassociation_response.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	025f9627da98fc72569e59f944c7659755420592a3ef314e9c06e237bac8745e
frame.pv0.mgmt.03.reassociation_response.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	eb2ee5ccfee9501f18a1b9d8df0e0427df211715a02123d977dbbf80ac35103a
frame.pv0.mgmt.03.reassociation_response.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	a53f19bf2776b07bd0b9570a5b097c316668515b0a2a37c812f4669578ea459d
frame.pv0.mgmt.03.reassociation_response.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	38cdb91f80c7c04eedacc1bb9371a4cc5b62f0b157f7049fe5dc197a6923e03b
frame.pv0.mgmt.03.reassociation_response.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	fbe2781a010345922677dfb046ab5dadfe5ca4bf3df2400d9259d708aa8f299e
frame.pv0.mgmt.04.probe_request.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	9281b24a66ad4ec5f95283b22ded0ea4f6cd9b503a3e243cac16a4884bf0c3e2
frame.pv0.mgmt.04.probe_request.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	48091b019cc33cfe176d47988cb86ec77f74666bb641aeeebae67fa2827e2afe
frame.pv0.mgmt.04.probe_request.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	8b777de2f449590daaf4f58950f70b344d0e45e46b65e37953aff79dfa03f4bc
frame.pv0.mgmt.04.probe_request.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	a059f17858af5e353857d579c680508b901d4e4b8ca3415b8286be53b213d52a
frame.pv0.mgmt.04.probe_request.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	e1c2937808362697f981bc46f987c50a80216764a419bb168b39da5e2b6310d2
frame.pv0.mgmt.04.probe_request.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	2718e70a217767da28e4333305e4c97637eab75a1300daa1081f7dd94ccd3b71
frame.pv0.mgmt.04.probe_request.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	f2ce9de5a8648997e44741a0e94e5e07fb0d4a2cb5b5bd7f9d12ab0644d7a994
frame.pv0.mgmt.04.probe_request.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	65a5f12a4740e2452c0f8b60caf1f2234b20b3d81e8abd02acdc9935fbde7982
frame.pv0.mgmt.05.probe_response.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	dcc9063e335adb5f585f0f4f3d2fad7558bf38dd4272f9f539f5d6ea38a4d66a
frame.pv0.mgmt.05.probe_response.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	19757d8a5dd124dac13c018bc1c62cd0e5f99e402ef975f14dc20360ea36be02
frame.pv0.mgmt.05.probe_response.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	cfb6058717d0a58701444861067c006c0ecbd9a2de0820286b3370abe806ee18
frame.pv0.mgmt.05.probe_response.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	6297ca55db87ba368a39ae5000720f5ac329ec9767e09044297d3038610f683f
frame.pv0.mgmt.05.probe_response.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	6501c6ac62105e412bbd79462a76ed4a6b411c85c07c046a14329fc71c144a23
frame.pv0.mgmt.05.probe_response.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	b0ac5dd42ef8ff7e96ca0b2bbc5175e9e7265cfd218e743ab6ba5dc190045f93
frame.pv0.mgmt.05.probe_response.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	9cb48f5541bcf6c1e33db87c8a211f81cc76a4b5b448900ac3d7dacc579b2a1a
frame.pv0.mgmt.05.probe_response.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	3c20fdebbb03ccf08f88c962563cef4b4ad114a5f1bd2b5ffb40566486ac8349
frame.pv0.mgmt.08.beacon.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	5dc75cb6a96efcb21accbf39a7fab457287971de4ef9f2c2276dec41803e4f4e
frame.pv0.mgmt.08.beacon.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	7471a0ae94b593c3dcbd39768e0b6b3a93a4485edfce56f64d4393ebdf152cbb
frame.pv0.mgmt.08.beacon.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	021597af3cf43db5c80d83523bbd82a9219cafeb4595e2db0ddc39a3e5d3eb00
frame.pv0.mgmt.08.beacon.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	b3930e79a7158b3e07acd923906fb9df16a3df0e6eb224fbd216486561f9ae73
frame.pv0.mgmt.08.beacon.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	7ca15170f68aadfbb596612bc98eaa5d56f86c58d43b28ae3a0232484e80153e
frame.pv0.mgmt.08.beacon.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	58ea153692001bcbd0c656306e18588cf2349d66e4176b06874a8d45c586a682
frame.pv0.mgmt.08.beacon.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	47d768d70cd9615ee0e543cefc9af78034df91cfa65e26a24d55855ac0e9bf89
frame.pv0.mgmt.08.beacon.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	65b1aa0116a0be141060e86a4652438c8ba91f60a708aa10e2aac11c2d0610e3
frame.pv0.mgmt.10.disassociation.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	96baf1c68b3e93fc7d144de29396abf20cf413b8dda40d1dc6a336d85af0cf5b
frame.pv0.mgmt.10.disassociation.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	7a9c025ceca3b1afb735a17f7b86dfc6cc0ea5788717e781b703d3d4e3c6e2d8
frame.pv0.mgmt.10.disassociation.ie.supported_rates	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	f6e704cd8941d7fb90e5398cd69d0c3a61b307d03d64f8036454053170fe9de7
frame.pv0.mgmt.10.disassociation.ie.rsn	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	664d897dcf908d4eb7af47cb2a12eba5452ecf87c84351d2f6cf5b02e1e29f9e
frame.pv0.mgmt.10.disassociation.ie.vendor	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	a13dfd2337a18eeb10d54922e3d9965486c4f3c6f462ae390379f99be450e71e
frame.pv0.mgmt.10.disassociation.ie.extension_he	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	1e3cdfa1139205acf278f3d37e71b570fc897249cf2f8651591161006a4c9e95
frame.pv0.mgmt.10.disassociation.ie.extension_eht	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	fe20af33e6b6fa1c0089e9585ac50b9de4ceb31827b744b236b02ba51c3d0022
frame.pv0.mgmt.10.disassociation.ie.max_len	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	01f5b1b940fd5261af3453623cd9f0bfc6a1ee37b6ca84a111227c100966672c
frame.pv0.mgmt.11.authentication.ie.ssid_empty	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	f370ab500700534c66842e46d5b660bb8ade4b2f0259f34380b871c2f617afe2
frame.pv0.mgmt.11.authentication.ie.ssid_max	frame	send_after_continuity_fix	assigned	pv0_management_ie	parser_accept_backend_candidate	accepted	0	terminal_completion_or_precise_backend_reject	ota_or_precise_firmware_unsupported	8a52b6a02c9fd889f2c240028aa9ec846d980fd74cbcb22ea6f80e630c935932
